method,tier,dataset,file,rows,bytes,sha256,run_id,window_start,window_end,description
1H Fast,fast,signals,1h-fast/signals.csv,970,239163,8c36381161710857cf24e8203cc049e674e9632a62794f0a3328a162a2700840,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every public signal lifecycle in the verified run, with proprietary model names and model-context payloads removed."
1H Fast,fast,trades,1h-fast/trades.csv,1554,716137,2f0096b842e1e5069b2a69b28907971d22af6ca4d6336d6109041765c11078de,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every simulated spot and 1x futures trade, joined back to its originating raw signal."
1H Fast,fast,fills,1h-fast/fills.csv,3108,1132116,20e5605241a82191487e919017c76356f85f7692fe2632f2d65b10838d4581b2,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every simulated execution fill with fee, quantity, cash, equity, and originating signal lineage."
1H Fast,fast,bars,1h-fast/equity-bars.csv,61035,10147608,329b3c3853df2b8f1d67cc864a95475b516c0e497007dabc5aadaf41490c6ecc,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,Account-equity history: every futures replay bar and spot state-change equity snapshot.
4H Flagship,flagship,signals,4h-flagship/signals.csv,155,38534,891aa4c5df298587b0291720ae741721fcf6baf00085f006e3669456345b979b,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every public signal lifecycle in the verified run, with proprietary model names and model-context payloads removed."
4H Flagship,flagship,trades,4h-flagship/trades.csv,310,143863,5866278385b9189d422d53fcaabc5d5c4e0e576069a83df6a5f189bcb5d177fb,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every simulated spot and 1x futures trade, joined back to its originating raw signal."
4H Flagship,flagship,fills,4h-flagship/fills.csv,618,227246,0bb975762aca6831f39387872ccfd34900d75d6f0f2721561078c3b49d99ab7c,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every simulated execution fill with fee, quantity, cash, equity, and originating signal lineage."
4H Flagship,flagship,bars,4h-flagship/equity-bars.csv,15301,2617336,07cb4cb57133457b56d89a5b270dae7a8858ffe8ec225c1699e25f425c515c84,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,Account-equity history: every futures replay bar and spot state-change equity snapshot.
6H Sentinel,sixh,signals,6h-sentinel/signals.csv,93,23096,1f6bfc3b08cb7e1d0c83c3577237c6b2c97f7233178e13f502cfcb3e0776fb5e,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every public signal lifecycle in the verified run, with proprietary model names and model-context payloads removed."
6H Sentinel,sixh,trades,6h-sentinel/trades.csv,186,86256,f1c4583f4de57770ee66616eb9e3b4f1368e9df70c6f683d982ab717039ee181,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every simulated spot and 1x futures trade, joined back to its originating raw signal."
6H Sentinel,sixh,fills,6h-sentinel/fills.csv,372,136321,8683e7a6f3078e9e744ed9ea862adaaa969c325aaa90be95ef28e73e4c84ac28,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,"Every simulated execution fill with fee, quantity, cash, equity, and originating signal lineage."
6H Sentinel,sixh,bars,6h-sentinel/equity-bars.csv,10186,1689359,65e0f3d395a030f3d5f762f9a0587aef37e24abdbee42651851cb1b64532855a,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,Account-equity history: every futures replay bar and spot state-change equity snapshot.
All methods,all,dictionary,data-dictionary.csv,17,1415,f5ee9c5791ffbfc02179c2196a52cc8bf13e83240d0b51bbe410446baf60d956,d85ad7e2888f47b79e6eead8595df555,2019-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,Column definitions and audit limitations for every downloadable CSV.
